#,Startup,Sector,Amount,Round (original),Investors,Period,Source Outlet,Source URL,Verified Round,Correction/Discrepancy Notes
252,Yoho,Consumer/Fashion Tech,$839K,Conventional Debt,GII,June 2026,Entrackr,https://entrackr.com/snippets/d2c-footwear-brand-yoho-raises-fresh-funds-11875347,Debt tranche,
253,StrainX Biotech,Life Sciences/Genomics,$13M,Series B,Prime Venture Partners,May 2026,Not yet checked,,,
254,Pramatra Space,Enterprise/Cybersecurity,Undisclosed,Seed,Seafund,May 2026,Not yet checked,,,
255,GIVA,Consumer/Fashion Tech,Undisclosed,Angel,Kriti Sanon,May 2026,Not yet checked,,,
256,Yes Madam,Retail/Beauty Tech,$5.2M,Series A,Info Edge,May 2026,Not yet checked,,,
257,Abcoffee,Food/Food Service,$6.39M,Series A,Hero Enterprise Partner Ventures,May 2026,Not yet checked,,,
258,Gabit,HealthTech/Fitness & Wellness,$3.76M,Angel,Deepak Gupta,May 2026,Not yet checked,,,
259,TIST Media,Business/Photography Services,Undisclosed,Seed,Sthira Partners,May 2026,Not yet checked,,,
260,Solfin,FinTech/Alternative Lending,$28.9M,Series C,Undisclosed,May 2026,Not yet checked,,,
261,Meta Fashion,Retail/Retailers,$400K,Seed,"Lumikai (lead), Big Bets (angel)",May 2026,StartupTalky,https://startuptalky.com/news/meta-fashion-lumikai-400k-pre-seed-funding/,Pre-seed,"CORRECTED — wrong company name (""Metafy"" is an unrelated US gaming company) and wrong lead investor. Real deal is Meta Fashion, led by Lumikai."
262,JP Power Ventures,Energy/Hydro Power,Undisclosed,Unattributed,Adani Power,May 2026,Not yet checked,,,
263,VEM Technologies,Industrial/Manufacturing Services,$19.2M,PE,InCred Capital,May 2026,Not yet checked,,,
264,Mythik,Media/Film & TV,$5M,Seed,Blume Founders Fund,May 2026,Not yet checked,,,
265,Scapia,FinTech/Payments,$63M,Series C,General Catalyst,May 2026,Not yet checked,,,
266,Sychedelic AI,HealthTech/Disease Management,$3.5M,Seed,Turbostart,May 2026,Not yet checked,,,
267,ANSCER,Enterprise/SCM Software,$4.6M,Series A,Indian Angel Network,May 2026,Not yet checked,,,
268,UpGrad,EdTech/Continued Learning,$38M,Series C,Temasek,May 2026,Not yet checked,,,
269,EndureAir Systems,Defense Tech/Military,$3.1M,Grant,Anrf,May 2026,Not yet checked,,,
270,ONO,Food/Crop Tech,$1.2M,Seed,Aeravti Ventures,May 2026,Not yet checked,,,
271,Damroo,Consumer/Music Tech,$519K,Seed,Hindustan Times,May 2026,Entrackr,https://entrackr.com/snippets/music-streaming-and-distribution-platform-damroo-secures-investment-from-hindustan-times-11852251,Strategic investment,
272,NTWIST,Enterprise/Business Intelligence,$727K,Conventional Debt,Government of Canada,May 2026,Tracxn,https://tracxn.com/d/companies/ntwist/__-H0UswDZETzYNHOobdIUgfyOJWOgzEWRxuihppIU4Ok,Conventional Debt (unverified amount),"UNVERIFIED — only found via Tracxn/PitchBook (not a news article); also an Edmonton, Canada company, which sits oddly in an India-only tracker."
273,Country Delight,Food/Online Grocery,$6.75M,Venture Debt,Alteria Capital,May 2026,Not yet checked,,,
274,Kalpi,FinTech/Investment Tech,$450K,Seed,Rainmatter,May 2026,Entrackr,https://entrackr.com/snippets/fintech-startup-kalpi-raises-seed-round-from-rainmatter-capital-11850443,Seed,
275,Iscon Balaji Foods,Food/Food Processing,$150M,Series A,Advent International,May 2026,Not yet checked,,,
276,Dhiway,Enterprise Applications,Undisclosed,Grant,HDFC Bank,May 2026,Not yet checked,,,
277,Xaults,FinTech,Undisclosed,Grant,HDFC Bank,May 2026,Not yet checked,,,
278,Inka Insurance,FinTech,Undisclosed,Grant,HDFC Bank,May 2026,Not yet checked,,,
279,FinSpring,FinTech,Undisclosed,Seed,VideoCX,May 2026,Not yet checked,,,
280,ValuEnable,FinTech,Undisclosed,Grant,HDFC Bank,May 2026,Not yet checked,,,
281,PropLegit,Financial Services,Undisclosed,Grant,HDFC Bank,May 2026,Not yet checked,,,
282,Finsall,FinTech,Undisclosed,Grant,HDFC Bank,May 2026,Not yet checked,,,
283,Saventh,FinTech,Undisclosed,Grant,HDFC Bank,May 2026,Not yet checked,,,
284,Cellogen Therapeutics,Life Sciences,$2M,Series A,Kotak Alternate Asset Managers,May 2026,Not yet checked,,,
285,Lark Finserv,FinTech,Undisclosed,Grant,HDFC Bank,May 2026,Not yet checked,,,
286,Entitled,Enterprise Applications,Undisclosed,Grant,HDFC Bank,May 2026,Not yet checked,,,
287,Rapido,Consumer,$240M,Series F,Prosus,May 2026,Not yet checked,,,
288,Dhruva Space,Space Tech,$11M,Grant,Anrf,May 2026,Entrackr,https://indianstartupnews.com/news/dhruva-space-secures-rs-105-crore-from-indian-govt-for-project-garud-satellite-manufacturing-11834043,Grant,"[DISCREPANCY] Grant is from RDIF (Research, Development and Innovation Fund), not ANRF as stated. Amount matches (~$11M = ₹105 crore)."
289,Craon,AI,Undisclosed,Seed,Undisclosed,May 2026,IndianStartupNews,https://indianstartupnews.com/funding/craon-raises-funding-to-scale-its-prompt-based-video-editing-platform-11837897,Pre-Seed,
290,Legend of Toys,Retail,$2.19M,Seed,Singularity AMC,May 2026,IndiaRetailing,https://www.indiaretailing.com/legend-of-toys-raises-21-crore-preseries-a-round,Pre-Series A,"[DISCREPANCY] Round type is Pre-Series A, not Seed. Amount matches (₹21 crore ≈ $2.19M)."
291,The Sweet Change,Food/Beverage,$73.2K,Seed,Indian Angel Network,May 2026,IAN Group,https://iangroup.vc/2026/05/14/ian-angel-fund-leads-70-lakhs-funding-round-in-the-sweet-change/,Angel,
292,Bombay Banta,Food/Beverage,$836K,Seed,DSG Consumer Partners,May 2026,Outlook Business,https://www.outlookbusiness.com/corporate/bombay-banta-raises-rs-8-crore-in-pre-series-a-round,Pre-Series A,
293,ONDC,E-Commerce,$7.32M,Series A,Zoho,May 2026,Inc42,https://inc42.com/buzz/zoho-invests-%E2%82%B970-cr-in-ondc-to-back-sovereign-tech-infrastructure/,,"[PARTIAL] Zoho invested ₹70 crore ($7.32M) in May 2026, but this is a strategic investment, not a formal Series A round."
294,Instafix,Local Services,$789K,Seed,Titan Capital,May 2026,Entrackr,https://entrackr.com/snippets/doorstep-smartphone-repair-startup-instafix-raises-pre-seed-round-led-by-titan-capital-8i-ventures-11829440,Pre-seed,
295,MOI SOI,Food/Beverage,Undisclosed,Seed,Gujarat Venture Finance,May 2026,IndianStartupNews,https://www.archynewsy.com/moi-soi-secures-first-institutional-round-from-gvfl-and-wipro-consumer-ventures/,Seed,
296,The EleFant,Retail,$1M,Seed,Growth Sense,May 2026,Entrackr,https://entrackr.com/snippets/toy-subscription-startup-the-elefant-raises-1-mn-in-pre-series-funding-11829958,Pre-Seed,
297,HrdWyr,Semiconductors,$13M,Series A,Ideaspring Capital,May 2026,Entrackr,https://entrackr.com/news/semiconductor-startup-hrdwyr-raises-13-mn-led-by-ideaspring-capital-11826658,Series A,
298,SCIkIQ,Enterprise Applications,$1.5M,Seed,Triton Investment Advisors,May 2026,Entrackr,https://entrackr.com/snippets/ai-startup-scikiq-raises-usd-15-mn-in-funding-from-triton-11825570,Seed,
299,Dil Foods,Food Tech,$7.7M,Series B,V3 Ventures,May 2026,YourStory,https://yourstory.com/2026/05/dil-foods-raises-rs-72-crore-in-series-b-round,Series B,
300,Sindhuja Microcredit,Financial/Microfinance,$5M,Series C,"Abler Nordic, Carpediem Capital",May 2026,Entrackr,https://entrackr.com/snippets/sindhuja-microcredit-raises-5-mn-in-pre-series-d-round-11822503,Pre-Series D,"[DISCREPANCY] Round type is Pre-Series D, not Series C. Amount and month match ($5M in May 2026)."
301,Wingreens World,Food/Online Grocery,$12.6M,Series D,"Alchemy Capital, Anicut Capital",May 2026,YourStory,https://yourstory.com/2026/05/wingreens-acquires-safe-harvest-integrated-clean-label-platform-series-d,Series D,"[PARTIAL] Amount matches (₹120 crore ≈ $12.6M), but lead investor is Ashish Kacholia with Alchemy Fund participation."
302,Lifesigns,HealthTech/Healthcare IT,Undisclosed,Seed,HealthQuad,May 2026,DigitalHealthNews,https://www.digitalhealthnews.com/healthquad-invests-in-lifesigns-to-expand-ai-based-remote-patient-monitoring-platform,Seed,
303,Hero Realty,Real Estate,$127M,Debt,IndusInd Bank,May 2026,RealtynMore,https://realtynmore.com/hero-realty-secures-1200-crore-debt-indusind-bank/,Debt,
304,Blunav Technologies,Travel Tech,$1M,Seed,"Piper Serica, StartupTN",May 2026,Entrackr,https://entrackr.com/snippets/piper-serica-leads-1-mn-seed-round-in-airport-operations-tech-company-blunav-11808501,Seed,"[PARTIAL] Piper Serica confirmed as lead, but StartupTN is not mentioned as co-investor."
305,Alphadroid,High Tech/Robotics,$3.8M,Seed,Alkemi Growth Capital,May 2026,SiliconIndia,https://www.siliconindia.com/startup/startup-funding/alphadroid-raises-38-million-in-round-led-by-alkemi-capital-nwid-54442.html,Pre-Seed,
306,Skyroot,Space Tech,$60M,Series C,"Sherpalo Ventures, Mukesh Bansal",May 2026,DealStreetAsia,https://www.dealstreetasia.com/stories/skyroot-fundraise-481532/,Series C,
307,BigEndian,Semiconductors,$6M,Seed,"Indian Angel Network, Vertex Ventures",May 2026,YourStory,https://yourstory.com/2026/05/bigendian-semiconductors-bags-6-million-led-by-ian-alpha-fund,Seed,
308,Ecofy,FinTech,$15M,Debt,"Mirova, FMO",May 2026,YourStory,https://yourstory.com/2026/05/ecofy-raises-15-million-from-mirova-to-expand-green-financing-portfolio,Debt,"[PARTIAL] Mirova investment confirmed in May 2026, but FMO is mentioned as prior investor (Jan 2024), not in this round."
309,Nowound,Life Sciences,$1.91M,Seed,Alkemi Growth Capital,May 2026,Unverified — no corroboration found,,Unverified,"[UNVERIFIED] Alkemi Growth Capital seed investment confirmed in May 2026, but exact amount of $1.91M cannot be independently verified."
310,Sarrthi IAS,EdTech,Undisclosed,Seed,Physics Wallah,May 2026,YourStory,https://yourstory.com/2026/05/physics-wallah-raises-sarrthi-ias-stake-to-51-takes-majority-control,,"[DISCREPANCY] Physics Wallah acquired stake in Sarrthi IAS (stake acquisition), not a seed funding round. This is M&A, not institutional funding."
311,JobsUPI,HRTech,$0.25M,Seed,IIMA Ventures,May 2026,Entrackr,https://entrackr.com/snippets/jobsupi-raises-pre-seed-round-from-iima-ventures-and-others-11806024,Pre-seed,
312,Gubbachhi,Retail,$0.158M,Seed,D2C Insider,May 2026,Entrackr,https://entrackr.com/snippets/gubbachhi-raises-pre-seed-round-from-d2c-insider-super-angels-fund-10598883,Pre-seed,
313,PinSec,High Tech,$0.525M,Seed,Undisclosed,May 2026,Business Standard,https://www.business-standard.com/amp/content/specials/pinsec-ai-secures-rs-5-crore-seed-funding-for-regional-expansion-126052601421_1.html,Seed,
314,Pronto,Consumer Services,$45M,Series B,"Lachy Groom, Bain Capital Ventures",May 2026,Entrackr,https://entrackr.com/news/pronto-raises-additional-20-mn-in-series-b-round-at-200-mn-valuation-11807841,Series B,
315,XCaliber,HealthTech,$6.5M,Seed,ManchesterStory Group,May 2026,TechFundingNews,https://techfundingnews.com/manchesterstory-leads-6-5m-round-in-xcaliber-health-to-automate-healthcare-administration/,Seed,
316,Securityfiresystems,Business Services,Undisclosed,Debt,Prospect Capital,May 2026,YahooFinance,https://finance.yahoo.com/markets/stocks/articles/prospect-capital-completes-26-million-110000411.html,Debt,"[PARTIAL] Prospect Capital investment confirmed, but described as first lien term loan (debt) for US-based company. Amount $26M matches entry 317."
317,Securityfiresystems,Business Services,$26M,Series B,Prospect Capital,May 2026,YahooFinance,https://finance.yahoo.com/markets/stocks/articles/prospect-capital-completes-26-million-110000411.html,Series B,
318,Vobiz,Enterprise Applications,$1M,Seed,Piper Serica,May 2026,Entrackr,https://entrackr.com/snippets/telephony-infra-startup-vobizai-raises-1-mn-led-by-piper-serica-11801843,Seed,
319,Apollyon Dynamics,High Tech/Drones,$0.421M,Seed,"Naandi Ventures, DST",May 2026,Dealroom,https://app.dealroom.co/news/feed/student-led-defense-startup-apollyon-dynamics-raises-475-000-supplies-kamikaze-drones-to-indian-army,Pre-seed,
320,Jurisphere,Legal Tech,$2.2M,Seed,Info Edge Ventures,May 2026,BarAndBench,https://www.barandbench.com/news/law-policy/legal-ai-startup-jurisphereai-raises-22-million-in-funding,Seed,
321,HealthFab,Consumer/Apparel,$2.1M,Series A,Atomic Capital,April-May 2026,IndiaRetailing,https://www.indiaretailing.com/healthfab-bags-20-crore-in-series-a-round-led-by-atomic-capital,Series A,
322,Kisah,Consumer/Fashion Tech,$3.8M,Series A,Fireside Ventures,April-May 2026,Entrackr,https://entrackr.com/news/fireside-ventures-leads-kisahs-series-a-round-valuation-jumps-to-rs-211-cr-11797334,Series A,
323,CHOSEN,Consumer/Beauty & Personal Care,$5M,Series A,Fireside Ventures,April-May 2026,YourStory,https://yourstory.com/2026/05/chosen-raises-5-mn-in-series-a-led-by-fireside-ventures-lorals-bold,Series A,
324,Aurm,High Tech/Security & Surveillance,$4.42M,Series A,Earthfund,April-May 2026,Entrackr,https://entrackr.com/snippets/aurm-raises-rs-42-cr-in-series-a-round-led-by-earth-fund-and-sattva-ventures-11799095,Series A,
325,Rosier Foods,Food/Beverage,Undisclosed,Seed,SailThru Ventures,April-May 2026,Unverified — no corroboration found,,Unverified,"[UNVERIFIED] SailThru Ventures investment confirmed but timing is March 2026, not April-May. Exact amount remains undisclosed."
326,Novorbis,Environment/Air Pollution,$1.41M,Seed,Rainmatter,April-May 2026,Entrackr,https://entrackr.com/snippets/cleantech-startup-novorbisitus-raises-rs-1335-crore-seed-round-led-by-rainmatter-11822503,Seed,"[DISCREPANCY] Funding amount is ₹13.35 crore (~$1.6M) not $1.41M. Company name also NovorbisItus, not Novorbis."
327,Ubiqedge,High Tech/IoT,$1.05M,Seed,Piper Serica,April-May 2026,Entrackr,https://entrackr.com/snippets/piper-serica-leads-rs-10-cr-seed-round-in-aiot-startup-ubiqedge-11782019,Seed,[PARTIAL] Amount is ₹10 crore (~$1.2M) not $1.05M. Round and investor confirmed for May 2026.
328,Fortuna Engineering,Auto/Auto Components,$13.6M,Unattributed,Bharat Forge,April-May 2026,BharatForge,https://www.bharatforge.com/assets/pdf/press-release/Press-release-Bharat-Forge-Limited-acquire.pdf,Equity,"[DISCREPANCY] This is a stake acquisition (30% stake at ₹129.60 crore valuation), not a traditional funding round. Announced April 30, 2026."
329,Ctruh,High Tech/Augmented Reality,$2.5M,Seed,Inflection Point Ventures,April-May 2026,Entrackr,https://entrackr.com/snippets/deep-tech-startup-ctruh-secures-25-mn-in-seed-funding-11781538,Seed,
330,Kimbal,Energy Tech/Smart Grid,$22M,Series B,GEF Capital Partners,April-May 2026,YourStory,https://yourstory.com/2026/04/kimbal-raises-22m-series-round-gef-capital,Series B,
331,Rivarp Medical,Healthcare/Medical Devices,Undisclosed,Seed,Futura Surgicare,April-May 2026,Unverified — no corroboration found,,Unverified,"[UNVERIFIED] Futura Surgicare/Jashvik Capital investment confirmed, but exact funding amount is undisclosed."
332,Vikra Ocean Tech,Maritime Tech,$1M,Seed,Finvolve,April-May 2026,IndianStartupNews,https://indianstartupnews.com/funding/chennai-deeptech-startup-vikra-ocean-tech-raises-1-million-to-build-indigenous-ocean-robotics-stack-11782323,Seed,
333,sprect,Consumer/Communication Apps,$212K,Seed,Subhkam Ventures,April-May 2026,Indian Startup News,https://indianstartupnews.com/funding/sprect-raises-rs-2-crore-in-funding-to-expand-its-11-expert-consultation-platform-11777529,Seed,
334,Sportvot,Media/OTT,$3.46M,Series A,Indian Angel Network,April-May 2026,Inc42,https://inc42.com/buzz/sportvot-bags-%E2%82%B932-7-cr-to-take-its-sports-streaming-platform-global/,Series A,[PARTIAL] Amount is ₹32.7 crore (~$3.9M) not $3.46M. Led by IAN Alpha Fund (not general Indian Angel Network). Month April-May 2026 confirmed.
335,Sahamati,Nonprofits,$5.29M,Series A,State Bank of India,April-May 2026,Unverified — no corroboration found,,Unverified,
336,Sahi,FinTech/Investment Tech,$33M,Series B,Accel,April-May 2026,Not yet checked,,,
337,Trimex Foods,Food/Food Service,$40M,PE,Siguler Guff,April-May 2026,Not yet checked,,,
338,Prithu,Environment/Air Pollution,$1.06M,Seed,Transition VC,April-May 2026,Not yet checked,,,
339,House of Chikankari,Consumer/Fashion Tech,$2.65M,Series A,Cap Alpha,April-May 2026,Not yet checked,,,
340,Kovon,HRTech,$250K,Seed,TDV Partners,April-May 2026,Entrackr,https://entrackr.com/snippets/workforce-mobility-platform-kovon-raises-pre-seed-led-by-tdv-partners-11771315,Pre-seed,
341,Snabbit,Consumer/Local Services,$56M,Series D,SIG Venture Capital,April-May 2026,Not yet checked,,,
342,Battery Smart,Energy Tech/EV,$15M,Debt,Mirova,April-May 2026,Not yet checked,,,
343,Dview,Business Intelligence,Undisclosed,Seed,Grand View Research,April-May 2026,Not yet checked,,,
344,HyugaLife,HealthTech,$10.6M,Series A,IvyCap Ventures,April-May 2026,Not yet checked,,,
345,Mojro,Logistics Tech,$2.5M,Series A,Dallas Venture Capital,April-May 2026,Not yet checked,,,
346,Novio,FinTech/Payments,$2.44M,Venture Debt,Innoven Capital,April-May 2026,Not yet checked,,,
347,Novio,FinTech/Payments,$8.28M,Series A,Cornerstone Ventures,April-May 2026,Not yet checked,,,
348,Treefe,Consumer/Social Platforms,Undisclosed,Seed,Swishin Ventures,April 2026,Not yet checked,,,
349,Oolka,FinTech/Alternative Lending,$14M,Series A,Accel,April 2026,Not yet checked,,,
350,Rosada,Retail/Mom & Baby Care,$45.9K,Angel,Namita Thapar,April 2026,Inc42,https://inc42.com/buzz/shilpa-shetty-invests-in-d2c-kids-lifestyle-brand-rosada/,Angel (Shark Tank),
351,Artociti,Retail/Retailers,$53.3K,Angel,Namita Thapar,April 2026,StartupNews.fyi,https://startupnews.fyi/2026/02/18/artociti-raises-1-crore-shark-tank-india/,Angel (Shark Tank),
352,Deep Algorithms,Enterprise/Cybersecurity,$1.71M,Seed,Unicorn India Ventures,April 2026,Not yet checked,,,
353,Cluster Protocol,High Tech/AI Infrastructure,$5M,Series A,dao5,April 2026,Not yet checked,,,
354,SoilSens,Food/Crop Tech,$26.7K,Angel,Vineeta Singh,April 2026,LocalSamosa,https://www.localsamosa.com/business/shark-tank-india-5-week-9-11190681,Angel (Shark Tank),
355,stch,Industrial/Contract Manufacturers,$5.5M,Seed,Omnivore,April 2026,Not yet checked,,,
356,Awsum,Food/Beverage,$53.3K,Angel,Ritesh Agarwal,April 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-better-you-bakery-brand-awsum-secures-rs-1-crore-deal-shark-tank-india,Angel (Shark Tank),
357,LightFury Games,Gaming/PC & Console,$11M,Seed,Blume Venture,April 2026,Not yet checked,,,
358,Grest,Retail/Consumer Electronics,Undisclosed,Seed,ICMG Group,April 2026,Not yet checked,,,
359,Alaya,Consumer/Fashion Tech,Undisclosed,Seed,LC Nueva AIF,April 2026,Not yet checked,,,
360,Spill Games,Mobile/Mobile Gaming,$3.1M,Seed,PeerCapital,April 2026,Not yet checked,,,
361,RehabVeda,Life Sciences/Neurology,$53.4K,Angel,Mohit Yadav,April 2026,Parul University,https://www.paruluniversity.ac.in/news-and-awards/how-a-rehabilitation-startup-secured-a-deal-from-namita-thapar-and-mohit-yadav/,Angel (Shark Tank),
362,Agrow Allied,Food/Crop Inputs,$20M,Series B,ICICI Venture,April 2026,Not yet checked,,,
363,Chupps,Consumer/Fashion Tech,Undisclosed,Series A,Ajinkya Rahane,April 2026,Not yet checked,,,
364,Pragyan Child Development Centre,Healthcare/Rehabilitation,$53.4K,Angel,Mohit Yadav,April 2026,CEOVine,https://www.ceovine.com/pragyan-child-development-centre-raises-rs-1-crore-on-shark-tank-india,Angel (Shark Tank),
365,DigitalPaani,Environment/Water Management,Undisclosed,Seed,AWE Funds,April 2026,Not yet checked,,,
366,CureMeAbroad,HealthTech/Healthcare Booking,$600K,Seed,Roman Saini,April 2026,Entrackr,https://entrackr.com/snippets/med-tech-tourism-startup-curemeabroad-raises-pre-seed-round-11750934,Pre-seed,
367,Acai Theory,Food/Restaurants,$430K,Seed,All In Capital,April 2026,Entrackr,https://entrackr.com/snippets/health-qsr-chain-acai-theory-raises-funds-from-all-in-capital-tdv-partners-others-11747855,Pre-seed,
368,Lawyered,Enterprise/Legal Tech,$2.5M,Seed,Rainmatter,April 2026,Not yet checked,,,
369,Nudgebee,Enterprise/IT Operations,$3M,Seed,Kalaari Capital,April 2026,Not yet checked,,,
370,TruScholar,EdTech/K-12,Undisclosed,Seed,SucSEED Indovation,April 2026,Not yet checked,,,
371,Hocco,Food/Food Service,$10.7M,Series C,Sauce,April 2026,Not yet checked,,,
372,PhantomFX,Undisclosed,$12.4M,Post IPO,Zee Entertainment Enterprises,April 2026,Not yet checked,,,
373,The Hosteller,Consumer/Online Travel,$16.1M,Series B,Promaft Partners,April 2026,Not yet checked,,,
374,Aliste,High Tech/Smart Homes,$3.21M,Seed,BIG Global Investments,April 2026,Not yet checked,,,
375,Algo8,Enterprise/Big Data Analytics,Undisclosed,Seed,Chemelex,April 2026,Not yet checked,,,
376,Intellithink,Enterprise/Manufacturing Tech,$1.82M,Seed,Pentathlon Ventures,April 2026,Not yet checked,,,
377,Polaris,Energy Tech/Smart Grid,$80M,Conventional Debt,British International Investment,April 2026,Not yet checked,,,
378,Cohoma Coffee,Food/Beverage,$536K,Seed,Inflection Point Ventures,April 2026,Entrackr,https://entrackr.com/snippets/cohoma-coffee-raises-rs-5-cr-seed-round-led-by-ipv-11730918,Seed,
379,Roofsol Energy,Energy/Solar,$35.6M,Series B,Undisclosed,April 2026,Not yet checked,,,
380,Helium,Consumer/Real Estate Tech,$536K,Angel,Albinder Dhindsa,April 2026,Entrackr,https://entrackr.com/snippets/proptech-startup-helium-raises-angel-funding-from-albinder-dhindsa-kunal-shah-others-11726966,Angel,
381,Ivory,HealthTech/Disease Management,$1M,Seed,Draper,April 2026,Not yet checked,,,
382,GobbleCube,Enterprise/Sales Automation,$15M,Series A,SIG Venture Capital,April 2026,Not yet checked,,,
383,Healync,HealthTech/Healthcare IT,Undisclosed,Seed,Volrado Venture Partners,April 2026,Not yet checked,,,
384,Apothecon Pharmaceuticals,Healthcare,$270M,PE,Everstone Capital,April 2026,Not yet checked,,,
385,TraqCheck,Enterprise/HRTech,$8M,Series A,IvyCap Ventures Advisors,April 2026,Not yet checked,,,
386,SpEd@home,EdTech/K-12,Undisclosed,Grant,Scitech Park,April 2026,Not yet checked,,,
387,Dextroware Devices,HealthTech/Assistive Tech,Undisclosed,Grant,Saksham,April 2026,Not yet checked,,,
388,Smart Garage,Auto/Auto Retail,$258K,Seed,Undisclosed,April 2026,Indian Startup News,https://indianstartupnews.com/funding/smart-garage-raises-rs-24-crore-to-scale-its-ai-driven-auto-service-marketplace-11720573,Pre-Series A,
389,Barneys,Food/Alcoholic Beverages,Undisclosed,Seed,TCA,April 2026,Not yet checked,,,
390,Panoculon Labs,Business/AI Services,Undisclosed,Grant,Saksham,April 2026,Not yet checked,,,
391,Sahayatha,Healthcare/Medical Devices,Undisclosed,Grant,Saksham,April 2026,Not yet checked,,,
392,Kingdom Of Chess,Consumer/Sports Tech,$177K,Seed,BeyondSeed,April 2026,YourStory,https://yourstory.com/2026/04/startup-news-updates-daily-roundup-april-13-2026,Seed,
393,FRUBON,Food/Beverage,Undisclosed,Series B,Fireside Ventures,April 2026,Not yet checked,,,
394,Signsetu,Undisclosed,Undisclosed,Grant,Saksham,April 2026,Not yet checked,,,
395,Glovatrix,HealthTech/Assistive Tech,Undisclosed,Grant,Saksham,April 2026,Not yet checked,,,
396,Daakit,Consumer/Logistics Tech,$138K,Seed,Inflection Point Ventures,April 2026,Entrackr,https://entrackr.com/snippets/daakit-raises-138k-in-pre-seed-round-led-by-inflection-point-ventures-11704251,Pre-seed,
397,Swageazy,Retail/B2B E-Commerce,$584K,Seed,Info Edge Ventures,April 2026,Entrackr,https://entrackr.com/snippets/swageazy-raises-rs-54-cr-follow-on-round-led-by-info-edge-ventures-11708256,Follow-on,
398,OFF/BEAT,Consumer/Music Tech,$10.8M,Seed,Bessemer Venture Partners,April 2026,Not yet checked,,,
399,Astranova Mobility,Energy Tech/EVs,$6.49M,Series A,IvyCap Ventures,April 2026,Not yet checked,,,
400,Pluckk,Food/Online Grocery,$10.8M,Series A,Euro Gulf Investments,April 2026,Not yet checked,,,
401,Nava,High Tech/AI Infrastructure,$22M,Series A,Greenoaks,April 2026,Not yet checked,,,
402,ILIOS 72 Alternative Capital,FinTech/Investment Tech,$215K,Seed,Undisclosed,April 2026,BW Disrupt,https://www.bwdisrupt.com/article/wealth-management-platform-ilios-72-secures-pre-series-a-funding-from-a-clutch-of-family-offices-601532,Pre-Series A,
403,SILA,Business/Consulting,$100M,PE,Permira,April 2026,Not yet checked,,,
404,KreditBee,FinTech/Alternative Lending,$220M,Series E,Motilal Oswal,April 2026,Not yet checked,,,
405,RoshAi,Auto Tech/Autonomous Vehicles,$2.36M,Seed,Indian Angel Network,April 2026,Not yet checked,,,
406,Tsecond.ai,Defense Tech/AI,$21.5M,Series B,MSN Holdings,April 2026,Not yet checked,,,
407,Atlas,FinTech/Accounting Tech,$6M,Seed,Accel,April 2026,Not yet checked,,,
408,Angoor AI,High Tech/Generative AI,$215K,Seed,Uday Sodhi,April 2026,Entrackr,https://entrackr.com/snippets/customer-interaction-platform-angoor-ai-raises-pre-seed-round-led-by-venturizer-11700670,Pre-seed,
409,TrEV,Consumer/Transport Tech,$393K,Angel,Undisclosed,April 2026,Entrackr,https://entrackr.com/snippets/ev-mobility-startup-trev-mobility-raises-angel-round-to-expand-across-delhi-ncr-11657382,Angel,
410,Filliandme,Retail/Mom & Baby Care,$161K,Seed,D2C Insider,April 2026,Entrackr,https://entrackr.com/snippets/d2c-insider-super-angels-leads-pre-seed-round-in-kids-brand-filli-me-11586028,Pre-seed,
411,Filliandme,Retail/Mom & Baby Care,Undisclosed,Debt,D2C Insider,April 2026,Not yet checked,,,
412,Rudrac,Gaming,$10K,Grant,LVL Zero Incubator,April 2026,PocketGamer.biz,https://www.pocketgamer.biz/indias-lvl-zero-incubator-unveils-first-cohort-of-10-games-startups/,Grant,
413,OFF BEAT,Business/HR,$10.7M,Seed,Bessemer Venture Partners,April 2026,Not yet checked,,,
414,YK Game Studio,Gaming,$10K,Grant,LVL Zero Incubator,April 2026,PocketGamer.biz,https://www.pocketgamer.biz/indias-lvl-zero-incubator-unveils-first-cohort-of-10-games-startups/,Grant,
415,Helium Air,Consumer Goods,$2M,Seed,India Quotient,April 2026,Not yet checked,,,
416,Xigma Games,Gaming,$10K,Grant,LVL Zero Incubator,April 2026,PocketGamer.biz,https://www.pocketgamer.biz/indias-lvl-zero-incubator-unveils-first-cohort-of-10-games-startups/,Grant,
417,Kyrel,Gaming,$10K,Grant,LVL Zero Incubator,April 2026,PocketGamer.biz,https://www.pocketgamer.biz/indias-lvl-zero-incubator-unveils-first-cohort-of-10-games-startups/,Grant,
418,H2LooP.ai,High Tech/Generative AI,$2M,Seed,Speciale Invest,April 2026,Not yet checked,,,
419,Arckon Arts,Gaming,$10K,Grant,LVL Zero Incubator,April 2026,Outlook Respawn,https://respawn.outlookindia.com/gaming/gaming-news/lvl-zero-unveils-10-startups-cohort-with-10000-grants,Grant,
420,KisaanSay,Food/Agriculture,$3.65M,Series A,NABVENTURES,April 2026,Not yet checked,,,
421,Ecoil,Environment Tech,$2.5M,Series A,Fundalogical Ventures,April 2026,Not yet checked,,,
422,Zanskar,FinTech/Investment Tech,$2.7M,Seed,BlackSoil,March 2026,Not yet checked,,,
423,SatLeo Labs,High Tech/Security & Surveillance,$2.2M,Seed,"Unicorn India Ventures, PointOne Capital",March 2026,Not yet checked,,,
